UserId,ProductId,Product Name,Summary,Text
AU2LNDRGFOS8J,7310172101,Dog Treat,very good,This product is a very health snack for your pup as it is made of 100% beef liver. My puppy does all of his tricks to get this treat. It is a little pricy but the container is large so it should last a long time as long as you don't overfeed.
A3RRSB7FFM07ZU,7310172101,Dog Treat,Dogs Love These!,My girls love these. I cut them up smaller and use them for training. Definately able to keep the dogs attention when they know something yummy and tasty is coming their way. The price was right too for the amount. As long as the price remains perfect I plan on having a steady supply of this great product!
AFH6TT0SWN59L,7310172101,Dog Treat,Fast shipment,This is 2.5 oz larger than what you can find in pet stores and less expensive. Shipped day the it was ordered and arrived 2 days later with prime.
ALAA0P3GK1VBR,7310172101,Dog Treat,Dogs Love It,"I have one dog that is a picky eater. I crumble this liver treat into her food bowl and she loves it. If you have a dog that doesn't eat, try this, you won't be disappointed."
A3EKHSRZKXRIFK,7310172101,Dog Treat,Golden loves them!,"My Golden can get picky and eating is not a priority for him. I was worried during training he was going to be too anxious to not eat any training treats. Well...these he will eat and I am very great-full! However, they do not have the best smell (definitely not something I would eat). :) Will be purchasing more."
A12MGOJOF9FY8P,7310172101,Dog Treat,Corgi loves it,We cut these up into small pieces for our Corgi pup (so each treat actually becomes 8-10 mini treats) to prevent throwing off his diet.  This allows us to give him multiple treats for going potty outside (like 3-5 mini treats each time).  We also use these whenever our puppy meets a stranger -- we make sure all four paws are on the ground before we give it to him and he has already learned to inhibit his desire to jump up on people!  These are amazing and I appreciate that they are made in the USA -- no weird chemicals to worry about -- and our pup loves to work for them!
A2KJO9EPX17ZXE,7310172101,Dog Treat,Healthy High Quality Dog Treat,"Yes, they are a bit expensive but, they are high quality, and pure nutrition.  Good training treat and not too high in calories.  Highly recommend this!"
A3XT9UO2Z8IKZ,7310172101,Dog Treat,Save the best for training,"I have two German Shepherds. I use these as training treats. I also use them when I brush them, which they don't enjoy so much but know they will get treats. We have tried every treat available. These are the best."
A1FZ2I81RT0AUX,7310172101,Dog Treat,great product & value,"Extremely big bucket of yummy treats for training! This is a great value. The pieces are large, but I cut them up into smaller pieces for regular training purposes."
A3HU1E3N2G9PF0,7310172101,Dog Treat,Best Dog Treats,"These liver chunks are like crack for dogs. The niblets are magic for training dogs because the critters will do anything for these. Although freeze-dried liver is pricey, you can cut the chunks into tiny chinks and use while training, rewarding, or just saying, 'I love you, my good dog.'"
A3W35OAAB4XNX9,7310172101,Dog Treat,dogs love them,"all natural,dogs favorite treat. Don't give too many because it will constipate dog. My dogs will do anything for these treats!"
