INFORMACIÓN GENERAL ESTACIONES,,,,,,,,,NORMAL CLIMATOLÓGICA ESTÁNDAR DE No DE DÍAS CON LLUVIA ≥ 1 mm PARA EL PERIODO 1991-2020,,,,,,,,,,,,,  Cumplen la directriz No 1203 del 2017 de la OMM,
CODIGO,CATEGORIA,ESTACIÓN,MUNICIPIO,DEPARTAMENTO,AO,ALTITUD (m),LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL, Número de meses,% de cumplimiento
47067010,LM,El Encanto,El Encanto,Amazonas,7,120,"-73,20","-1,77","14,3","14,8","17,6","17,1","19,7","18,8","17,7","13,4","13,3","13,9","14,8","16,4","191,7",332,"92,2%"
47060010,PM,El Encato,El Encanto,Amazonas,7,120,"-73,21","-1,75","14,3","14,7","17,5","17,1","19,6","18,6","17,8","13,1","13,3","13,8","14,9","16,3","191,1",343,"95,3%"
44187030,LM,Bacuri,La Pedrera,Amazonas,4,101,"-69,47","-1,23","19,0","17,6","18,6","18,9","22,1","20,3","19,6","16,5","14,5","15,1","15,0","18,8","216,0",343,"95,3%"
44187020,PM,La Pedrera,La Pedrera,Amazonas,4,102,"-69,59","-1,31","13,8","12,8","14,9","15,0","16,0","14,7","13,5","12,4","11,2","12,0","12,1","13,3","161,8",334,"92,8%"
44157040,LM,Manacaro,La Pedrera,Amazonas,4,109,"-70,18","-1,53","18,3","16,5","18,5","18,7","20,3","19,1","18,0","14,6","13,2","14,9","14,8","17,1","204,0",351,"97,5%"
48015050,SP,Aeropuerto Vasquez Cobo,Leticia,Amazonas,11,84,"-69,94","-4,19","21,7","19,0","20,6","19,4","18,9","15,4","12,6","11,8","13,5","16,1","16,6","20,8","206,4",338,"93,9%"
44157020,LM,Las Miranas,Mirití-Paraná (Campoamor),Amazonas,4,116,"-70,82","-1,31","14,6","14,9","18,0","17,8","18,7","18,9","16,8","14,1","12,5","14,6","13,4","15,2","189,6",320,"88,9%"
44157030,LM,Maria Manteca,Mirití-Paraná (Campoamor),Amazonas,4,114,"-70,61","-1,42","17,4","17,4","19,0","19,2","20,1","20,0","18,3","15,1","14,3","14,2","15,2","17,9","208,0",349,"96,9%"
47040020,PM,El Refugio ,Puerto Alegría,Amazonas,7,140,"-74,39","-0,56","9,3","10,7","15,5","18,2","18,9","19,5","17,6","14,0","12,7","13,5","13,0","11,4","174,2",336,"93,3%"
47047020,LM,Puerto Toloza,Puerto Alegría,Amazonas,7,135,"-74,07","-1,05","11,4","12,7","15,6","18,4","19,3","19,5","16,8","14,1","14,0","13,3","13,7","13,4","182,2",335,"93,1%"
